"id","dtc_code","dtc_description"
"2420","B1847","Ignition Tamper Circuit Short To Battery"
"2421","B1848","Ignition Tamper Circuit Short To Ground"
"2422","B1849","Climate Control Temperature Differential Circuit Failure"
"2423","B1850","Climate Control Temperature Differential Circuit Open"
"2424","B1851","Climate Control Temperature Differential Circuit Short To Battery"
"2425","B1852","Climate Control Temperature Differential Circuit Short To Ground"
"2426","B1853","Climate Control Air Temperature Internal Sensor Motor Circuit Failure"
"2427","B1854","Climate Control Air Temperature Internal Sensor Motor Circuit Open"
"2428","B1855","Climate Control Air Temperature Internal Sensor Motor Circuit Short To Battery"
"2429","B1856","Climate Control Air Temperature Internal Sensor Motor Circuit Short To Ground"
"2430","B1857","Climate Control On/Off Switch Circuit Failure"
"2431","B1858","Climate Control A/C Pressure Switch Circuit Failure"
"2432","B1859","Climate Control A/C Pressure Switch Circuit Open"
"2433","B1860","Climate Control A/C Pressure Switch Circuit Short To Battery"
"2434","B1861","Climate Control A/C Pressure Switch Circuit Short To Ground"
"2435","B1862","Climate Control A/C Lock Sensor Failure"
"2436","B1863","Ground ECU Circuit Open"
"2437","B1864","Battery Power Supply ECU Circuit Failure"
"2438","B1865","Battery Power Supply ECU Circuit Open"
"2439","B1866","Battery Power Supply ECU Circuit Short To Battery"
"2440","B1867","Battery Power Supply ECU Circuit Short To Ground"
"2441","B1868","Lamp Air Bag Warning Indicator Circuit Failure"
"2442","B1869","Lamp Air Bag Warning Indicator Circuit Open"
"2443","B1870","Lamp Air Bag Warning Indicator Circuit Short To Battery"
"2444","B1871","Passenger Air Bag Disable Module Fault"
"2445","B1872","Turn Signal / Hazard Power Feed Circuit Short To Battery"
"2446","B1873","Turn Signal / Hazard Power Feed Circuit Short To Ground"
"2447","B1874","Cellular Phone Handset Not Present"
"2448","B1875","Turn Signal / Hazard Switch Signal Circuit Failure"
"2449","B1876","Seatbelt Driver Pretensioner Circuit Failure"
"2450","B1877","Seatbelt Driver Pretensioner Circuit Open"
"2451","B1878","Seatbelt Driver Pretensioner Circuit Short to Battery"
"2452","B1879","Seatbelt Driver Pretensioner Circuit Short to Ground"
"2453","B1880","Seatbelt Passenger Pretensioner Circuit Failure"
"2454","B1881","Seatbelt Passenger Pretensioner Circuit Open"
"2455","B1882","Seatbelt Passenger Pretensioner Circuit Short to Battery"
"2456","B1883","Seatbelt Passenger Pretensioner Circuit Short to Ground"
"2457","B1884","PAD Warning Lamp Inoperative"
"2458","B1885","Seatbelt Driver Pretensioner Circuit Resistance Low on Squib"
"2459","B1886","Seatbelt Passenger Pretensioner Circuit Resistance Low on Squib"
"2460","B1887","Air Bag Driver Circuit Resistance Low or Shorted Together"
"2461","B1888","Air Bag Passenger Circuit Resistance Low or Shorted Together"
"2462","B1889","Passenger Airbag Disable Module Sensor Obstructed"
"2463","B1890","PAD Warning Lamp Circuit Short to Battery"
"2464","B1891","Air Bag Tone Warning Indicator Circuit Short to Battery"
"2465","B1892","Air Bag Tone Warning Indicator Circuit Failure"
"2466","B1893","GPS Antenna Open Circuit"
"2467","B1894","Wiper Rear Motor Speed Sense Circuit Failure"
"2468","B1895","Driver's / Passenger's Door Ajar Output Circuit Failure"
"2469","B1896","Driver's / Passenger's Door Ajar Output Circuit Short to Battery"
"2470","B1897","Horn Switch Circuit Failure"
"2471","B1898","Chime Input #2 Circuit Short to Ground"
"2472","B1899","Microphone Input Signal Circuit Open"
"2473","B1900","Driver Side Airbag Fault"
"2474","B1901","Air Bag Crash Sensor #1 Feed/Return Circuit Short To Ground"
"2475","B1902","Air Bag Crash Sensor #1 Ground Circuit Failure"
"2476","B1903","Air Bag Crash Sensor #1 Ground Circuit Short To Battery"
"2477","B1904","Air Bag Crash Sensor #2 Feed/Return Circuit Failure"
"2478","B1905","Air Bag Crash Sensor #2 Feed/Return Circuit Short To Battery"
"2479","B1906","Air Bag Crash Sensor #2 Feed/Return Circuit Short To Ground"
"2480","B1907","Air Bag Crash Sensor #2 Ground Circuit Failure"
"2481","B1908","Air Bag Crash Sensor #2 Ground Circuit Short To Battery"
"2482","B1909","Air Bag Crash Sensor #2 Ground Circuit Short To Ground"
"2483","B1910","Air Bag Diagnostic Monitor Ground Circuit Failure"
"2484","B1911","Air Bag Diagnostic Monitor Ground Circuit Short To Battery"
"2485","B1912","Air Bag Diagnostic Monitor Ground Circuit Short To Ground"
"2486","B1913","Air Bag Driver/Passenger Circuit Short To Ground"
"2487","B1914","Air Bag Crash Sensors #1 / #2 Circuit Short To Ground"
"2488","B1915","Air Bag Driver Circuit Failure"
"2489","B1916","Air Bag Driver Circuit Short To Battery"
"2490","B1917","Air Bag Memory Clear Circuit Failure"
"2491","B1918","Air Bag Memory Clear Circuit Open"
"2492","B1919","Air Bag Memory Clear Circuit Short To Battery"
"2493","B1920","Air Bag Passenger Circuit Failure"
"2494","B1921","Air Bag Diagnostic Monitor Ground Circuit Open"
"2495","B1922","Air Bag Safing Sensor Output Circuit Short To Battery"
"2496","B1923","Air Bag Memory Clear Circuit Short To Ground"
"2497","B1924","Air Bag Internal Diagnostic Monitor Fault or System Disarm Fault"
"2498","B1925","Air Bag Passenger Circuit Short To Battery"
"2499","B1926","Air Bag Passenger Pressure Switch Circuit Failure"
"2500","B1927","Passenger Side Airbag Fault"
"2501","B1928","Air Bag Safing Sensor Output Circuit Failure"
"2502","B1929","Air Bag Safing Sensor Output Circuit Open"
"2503","B1930","Air Bag Safing Sensor Output Circuit Short To Ground"
"2504","B1931","Air Bag Crash Sensor #1 Feed/Return Circuit Failure"
"2505","B1932","Air Bag Driver Circuit Open"
"2506","B1933","Air Bag Passenger Circuit Open"
"2507","B1934","Air Bag Driver Inflator Circuit Resistance Low on Squib"
"2508","B1935","Air Bag Passenger Inflator Circuit Resistance Low on Squib"
"2509","B1936","Air Bag Driver Circuit Short To Ground"
"2510","B1937","Air Bag Passenger Pressure Switch Circuit Open"
"2511","B1938","Air Bag Passenger Circuit Short To Ground"
"2512","B1939","Air Bag Passenger Pressure Switch Circuit Short To Ground"
"2513","B1941","Air Bag Crash Sensor #1 Feed/Return Circuit Open"
"2514","B1942","Air Bag Crash Sensor #2 Feed/Return Circuit Open"
"2515","B1943","Air Bag Crash Sensor #1 Ground Circuit Short To Ground"
"2516","B1944","Air Bag Crash Sensor #1 Ground Circuit Open"
"2517","B1945","Air Bag Crash Sensor #2 Ground Circuit Open"
"2518","B1946","Climate Control A/C Post Evaporator Sensor Circuit Failure"
"2519","B1947","Climate Control A/C Post Evaporator Sensor Circuit Short To Ground"
"2520","B1948","Climate Control Water Temperature Sensor Circuit Failure"
"2521","B1949","Climate Control Water Temperature Sensor Circuit Short To Ground"
"2522","B1950","Seat Rear Up/Down Potentiometer Feedback Circuit Failure"
"2523","B1951","Seat Rear Up/Down Potentiometer Feedback Circuit Open"
"2524","B1952","Seat Rear Up/Down Potentiometer Feedback Circuit Short To Battery"
"2525","B1953","Seat Rear Up/Down Potentiometer Feedback Circuit Short To Ground"
"2526","B1954","Seat Front Up/Down Potentiometer Feedback Circuit Failure"
"2527","B1955","Seat Front Up/Down Potentiometer Feedback Circuit Open"
"2528","B1956","Seat Front Up/Down Potentiometer Feedback Circuit Short To Battery"
"2529","B1957","Seat Front Up/Down Potentiometer Feedback Circuit Short To Ground"
"2530","B1958","Seat Recline Forward/Backward Potentiometer Feedback Circuit Failure"
"2531","B1959","Seat Recline Forward/Backward Potentiometer Feedback Circuit Open"
"2532","B1960","Seat Recline Forward/Backward Potentiometer Feedback Circuit Short To Battery"
"2533","B1961","Seat Recline Forward/Backward Potentiometer Feedback Circuit Short To Ground"
"2534","B1962","Seat Horizontal Forward/Rearward Potentiometer Feedback Circuit Failure"
"2535","B1963","Seat Horizontal Forward/Rearward Potentiometer Feedback Circuit Open"
"2536","B1964","Seat Horizontal Forward/Rearward Potentiometer Feedback Circuit Short To Battery"
"2537","B1965","Seat Horizontal Forward/Rearward Potentiometer Feedback Circuit Short To Ground"
"2538","B1966","A/C Post Heater Sensor Circuit Failure"
"2539","B1967","A/C Post Heater Sensor Circuit Short To Ground"
"2540","B1968","A/C Water Pump Detection Circuit Failure"
"2541","B1969","A/C Clutch Magnetic Control Circuit Failure"
"2542","B1970","Passenger Seatback Forward Switch Circuit Short to Ground"
"2543","B1971","Passenger Seatback Rearward Switch Circuit Short to Ground"
"2544","B1972","Passenger Rear Seat Up Switch Circuit Short to Battery"
"2545","B1973","Passenger Rear Seat Down Switch Circuit Short to Battery"
"2546","B1974","Passenger's Seat Recline Forward Switch Circuit Short to Battery"
"2547","B1975","Passenger's Seat Recline Back Switch Circuit Short to Battery"
"2548","B1976","Passenger's Seat Forward Switch Circuit Short to Battery"
"2549","B1977","Passenger's Front Seat Up Switch Circuit Short to Battery"
"2550","B1978","Passenger's Front Seat Down Switch Circuit Short to Battery"
"2551","B1979","Passenger Seat Rearward Switch Circuit Short to Battery"
"2552","B1980","Bulb - Outage Condition Detected"
"2553","B1981","Memory Off Switch Circuit Short to Battery"
"2554","B1982","Driver's Door Unlock Relay Circuit Failure"
"2555","B1983","Driver's Door Unlock Relay Circuit Short to Battery"
"2556","B1984","Seat Switch Lumbar Inflate Circuit Failure"
"2557","B1985","Seat Switch Lumbar Deflate Circuit Failure"
"2558","B1986","Driver's Seat Seatback Autoglide Rearward Switch Circuit Failure"
"2559","B1987","Pedal Forward / Rearward Motor Stalled"
"2560","B1988","Pedal Position Forward Switch Circuit Short to Battery"
"2561","B1989","Pedal Position Rearward Switch Circuit Short to Battery"
"2562","B1990","Pedal Forward / Rearward Potentiometer Feedback Circuit Failure"
"2563","B1991","Pedal Forward / Rearward Potentiometer Feedback Circuit Short to Battery"
"2564","B1992","Driver Side, Side mount Airbag Circuit Short to Vbatt"
"2565","B1993","Driver Sid, Side mount Airbag Circuit Short to Ground"
"2566","B1994","Driver Sid, Side mount Airbag Circuit Open"
"2567","B1995","Driver Sid, Side mount Airbag Low resistance on Squib"
"2568","B1996","Passenger Sid, Side mount Airbag Circuit Short to Vbatt"
"2569","B1997","Passenger Sid, Side mount Airbag Circuit Short to Ground"
"2570","B1998","Passenger Sid, Side mount Airbag Circuit Open"
"2571","B1999","Passenger Sid, Side mount Airbag Low resistance on Squib"
"2572","B2100","Door Driver Key Cylinder Switch Failure"
"2573","B2101","Head Rest Switch Circuit Failure"
"2574","B2102","Antenna Circuit Short to Ground"
"2575","B2103","Antenna Not Connected"
"2576","B2104","Door Passenger Key Cylinder Switch Failure"
"2577","B2105","Throttle Position Input Out of Range Low"
"2578","B2106","Throttle Position Input Out of Range High"
"2579","B2107","Front Wiper Motor Relay Circuit Short to Vbatt"
"2580","B2108","Trunk Key Cylinder Switch Failure"
"2581","B2109","Heated Wind Shield Relay Short to Vbatt (changed from Failure 2/6/97)"
"2582","B2110","Front Wiper Motor Relay Circuit Open (changed from Failure 2/6/97)"
"2583","B2111","All Door Lock Input Short to Ground"
"2584","B2112","Door Driver Set Switch Stuck Failure"
"2585","B2113","Heated Windshield Input Short to Ground"
"2586","B2114","Front Washer Input Short to Ground"
"2587","B2115","Rear Washer Input Short to Ground"
"2588","B2116","Door Driver Reset Switch Stuck Failure"
"2589","B2117","Driver Side, Side mount Airbag Low capacitance on Squib"
"2590","B2118","Passenger Sid, Side mount Airbag Low capacitance on Squib"
"2591","B2119","Compressor Failure"
"2592","B2120","Door Passenger Set Switch Stuck Failure"
"2593","B2122","Driver Side Satellite Communication Circuit Short to Ground"
"2594","B2123","Passenger Side Satellite Communication Circuit Short to Ground"
"2595","B2124","Door Passenger Reset Switch Stuck Failure"
"2596","B2128","Central Lock Motor Failure"
"2597","B2129","Central Lock Feedback Failure"
"2598","B2130","Double Lock Timeout Failure"
"2599","B2131","Double Lock Feedback Failure"
"2600","B2132","Dimmer switch Circuit Short to Gnd"
"2601","B2133","Brake Motor Warning lamp Circuit Failure"
"2602","B2134","Brake Motor Warning lamp Circuit Short to Vbatt"
"2603","B2135","Park Brake Applied Warning Lamp Circuit Failure"
"2604","B2136","Park Brake Applied Warning Lamp Circuit Short To Battery"
"2605","B2139","Data Mismatch (receive data does not match what was expected)"
"2606","B2141","NVM Configuration Failure"
"2607","B2142","NVM TIC Failure"
"2608","B2143","NVM Memory Failure"
"2609","B2144","NVM Alarm Data Failure"
"2610","B2145","NVM RF HR Failure"
"2611","B2146","Seat Recline Motor Position Out of Range"
"2612","B2148","PWM Input Circuit Failure"
"2613","B2149","Seat Front Vertical Motor Position Out of Range"
"2614","B2150","Power Supply #1 Circuit Short to Ground"
"2615","B2151","Power Supply #2 Circuit Short to Ground"
"2616","B2152","Seat Rear Vertical Motor Position Out of Range"
"2617","B2153","Rear Echo Sensor Circuit Failure"
"2618","B2154","Front Echo Sensor Circuit Failure"
"2619","B2155","Seat Horizontal Motor Position Out of Range"
"2620","B2156","Rear Doppler Sensor Circuit Failure"
"2621","B2157","Front Doppler Sensor Circuit Failure"
"2622","B2158","Seat Recline Motor Memory Position Out of Range"
"2623","B2159","Memory #1 output Short to Ground"
"2624","B2160","Memory #1 output Short to VBatt"
"2625","B2161","Seat Front Vertical Motor Memory Position Out of Range"
"2626","B2162","Data Mismatch #2 (receive data does not match what was expected)"
"2627","B2163","Clutch Position Fault"
"2628","B2164","Seat Rear Vertical Motor Memory Position Out of Range"
"2629","B2165","Gear shift position Fault"
"2630","B2166","Gear select position Fault"
"2631","B2167","Seat Horizontal Motor Memory Position Out of Range"
"2632","B2168","Unable to confirm Unlock Condition"
"2633","B2169","Unable to confirm lock Condition"
"2634","B2170","Steering Column Lock Switch Circuit Failure"
"2635","B2172","Inertia Switch input Circuit Open"
"2636","B2174","Window Driver Rear Remote Up Switch Short to Battery"
"2637","B2175","A/C Request Signal Circuit Short to Ground"
"2638","B2176","Overdrive switch circuit short to Vbatt"
"2639","B2177","Interior Scanning Sensor Circuit Failure"
"2640","B2178","Window Driver Rear Remote Down Switch Short to Battery"
"2641","B2179","Front Wiper Select Switch A Short to Ground"
"2642","B2180","Front Wiper Select Switch B Short to Ground"
"2643","B2181","Front Wiper Select Switch C Short to Ground"
"2644","B2182","Window Passenger Front Remote Up Switch Short to Battery"
"2645","B2183","Front Wiper Select Switch H Short to Ground"
"2646","B2184","Front Wiper Select Switch W Short to Ground"
"2647","B2185","Rear Wiper Select Switch D Short to Ground"
"2648","B2186","Window Passenger Front Remote Down Switch Short to Battery"
"2649","B2187","Rear Wiper Select Switch B Short to Ground"
"2650","B2188","Rear Wiper Select Switch E Short to Ground"
"2651","B2190","Window Passenger Rear Remote Up Switch Short to Battery"
"2652","B2194","Window Passenger Rear Remote Down Switch Short to Battery"
"2653","B2195","Driver Window Up / Down Power Circuit Short to Ground"
"2654","B2196","Passenger Window Up / Down Power Circuit Short to Ground"
"2655","B2197","TV Module Error"
"2656","B2198","TrafficMaster Module Error"
"2657","B2199","VICS Module Error"
"2658","B2200","No Communication to TV Module (No Fitting of TV)"
"2659","B2201","No Communication With Traffic MasterModule"
"2660","B2202","No Communication to VICS Module (No Fitting of VICS)"
"2661","B2203","CD-ROM Error"
"2662","B2204","GPS Antenna Connection Open or Short"
"2663","B2205","GPS Receiver Error"
"2664","B2206","Gyroscope Error"
"2665","B2207","ECU ROM Checksum Error"
"2666","B2208","Communication Link to Display and Switch Module Error"
"2667","B2209","Interior Lamp Override Switch Open Circuit"
"2668","B2210","Interior Lamp Override Switch Short to Ground"
"2669","B2211","Low Coolant Lamp Output Circuit Short to Battery"
"2670","B2214","Window Passenger Front Up Switch Short to Battery"
"2671","B2215","Window Passenger Front Down Switch Short to Battery"
"2672","B2219","Window Driver Front Current Feedback Exceeded"
"2673","B2220","Window Driver Rear Current Feedback Exceeded"
"2674","B2221","Window Passenger Front Current Feedback Exceeded"
"2675","B2222","Window Passenger Rear Current Feedback Exceeded"
"2676","B2223","Mirror Driver Drive Circuit Failure"
"2677","B2224","Mirror Passenger Drive Circuit Failure"
"2678","B2225","Front Crash Sensor Mount Fault"
"2679","B2226","Front Crash Sensor Internal Fault"
"2680","B2227","Front Crash Sensor Driver Communications Fault"
"2681","B2228","Air Bag Driver Circuit Short to Ground - Loop #2"
"2682","B2229","Air Bag Passenger Circuit Short to Ground - Loop #2"
"2683","B2230","Air Bag Driver Circuit Short to Battery - Loop #2"
"2684","B2231","Air Bag Passenger Circuit Short to Battery - Loop #2"
"2685","B2232","Air Bag Driver Circuit Open - Loop #2"
"2686","B2233","Air Bag passenger Circuit Open - Loop #2"
"2687","B2234","Air Bag Driver Inflator Circuit Resistance Low on Squib - Loop #2"
"2688","B2235","Air Bag Passenger Inflator Circuit"
"2689","B2236","Weak or Defected Electric Vehicle Battery Module Fault"
"2690","B2237","Vehicle Signal indicating Park While VSS Present"
"2691","B2238","Power Cable For Power Sliding Door Broken"
"2692","B2239","Rear Cargo Door Set Switch Stuck (Short to Ground)"
"2693","B2240","Rear Cargo Door Reset Switch Stuck (Short to Ground)"
"2694","B2241","Rear Cargo Door Lock Circuit Short to Ground"
"2695","B2242","Rear Cargo Door Unlock Circuit Open"
"2696","B2243","Driver Rear Door Ajar Circuit Open"
"2697","B2244","Driver Sliding Door Ajar Circuit Short to GND"
"2698","B2245","Passenger Rear Door Ajar Circuit Open"
"2699","B2246","Passenger Sliding Door Ajar Circuit Short to GND"
"2700","B2247","EV Battery Pack Temperature Fault"
"2701","B2248","Heated Windshield Relay Coil Circuit Failure"
"2702","B2249","Head Lamp Relay Coil Short to Battery"
"2703","B2250","All Doors Unlock Relay Circuit Failure"
"2704","B2251","Parklamp Output Relay Driver Circuit Failure"
"2705","B2252","Parklamp Output Relay Dirver Short to Battery"
"2706","B2300","Seat Driver Memory Position Error"
"2707","B2301","Seat Passenger Memory Position Error"
"2708","B2302","Seat Headrest Feedback Potentiometer Circuit Failure"
"2709","B2303","Seat Headrest Feedback Potentiometer Circuit Open"
"2710","B2304","Seat Headrest Feedback Potentiometer Circuit Short to Battery"
"2711","B2305","Seat Headrest Feedback Potentiometer Circuit Short to Ground"
"2712","B2306","Seat Headrest Motor Stalled"
"2713","B2310","Mirror Driver Memory Position Error"
"2714","B2311","Mirror Passenger Memory Position Error"
"2715","B2312","Mirror Passenger Horizontal Feedback Potentiometer Circuit Failure"
"2716","B2313","Mirror Passenger Horizontal Feedback Potentiometer Circuit Open"
"2717","B2314","Mirror Passenger Horizontal Feedback Potentiometer Circuit Short to Battery"
"2718","B2315","Mirror Passenger Horizontal Feedback Potentiometer Circuit Short to Ground"
"2719","B2316","Mirror Passenger Vertical Feedback Potentiometer Circuit Failure"
"2720","B2317","Mirror Passenger Vertical Feedback Potentiometer Circuit Open"
"2721","B2318","Mirror Passenger Vertical Feedback Potentiometer Circuit Short to Battery"
"2722","B2319","Mirror Passenger Vertical Feedback Potentiometer Circuit Short to Ground"
"2723","B2320","Mirror Driver Horizontal Feedback Potentiometer Circuit Failure"
"2724","B2321","Mirror Driver Horizontal Feedback Potentiometer Circuit Open"
"2725","B2322","Mirror Driver Horizontal Feedback Potentiometer Circuit Short to Battery"
"2726","B2323","Mirror Driver Horizontal Feedback Potentiometer Circuit Short to Ground"
"2727","B2324","Mirror Driver Vertical Feedback Potentiometer Circuit Failure"
"2728","B2325","Mirror Driver Vertical Feedback Potentiometer Circuit Open"
"2729","B2326","Mirror Driver Vertical Feedback Potentiometer Circuit Short to Battery"
"2730","B2327","Mirror Driver Vertical Feedback Potentiometer Circuit Short to Ground"
"2731","B2328","Column Reach Feedback Potentiometer Circuit Failure"
"2732","B2329","Column Reach Feedback Potentiometer Circuit Open"
"2733","B2330","Column Reach Feedback Potentiometer Circuit Short to Battery"
"2734","B2331","Column Reach Feedback Potentiometer Circuit Short to Ground"
"2735","B2332","Column Tilt Feedback Potentiometer Circuit Failure"
"2736","B2333","Column Tilt Feedback Potentiometer Circuit Open"
"2737","B2334","Column Tilt Feedback Potentiometer Circuit Short to Battery"
"2738","B2335","Column Tilt Feedback Potentiometer Circuit Short to Ground"
"2739","B2336","Mirror Switch Assembly Circuit Failure"
"2740","B2337","Mirror Switch Assembly Circuit Open"
"2741","B2338","Mirror Switch Assembly Circuit Short to Battery"
"2742","B2339","Mirror Switch Assembly Circuit Short to Ground"
"2743","B2340","Column Reach Motor Stalled"
"2744","B2341","Column Tilt Motor Stalled"
"2745","B2342","Seat Switch Reference Voltage Positive Common Open Circuit"
"2746","B2343","Seat Switch Reference Voltage Positive Common Supply Low Voltage"
"2747","B2344","Seat Switch Reference Voltage Positive Common Supply Voltage Fault"
"2748","B2345","Seat Switch Reference Voltage Negative Common Open Circuit"
"2749","B2346","Mirror Switch Reference Voltage Positive Common Open Circuit"
"2750","B2347","Mirror Switch Reference Voltage Positive Common Supply Low Voltage"
"2751","B2348","Mirror Switch Reference Voltage Positive Common Supply Voltage Fault"
"2752","B2349","Mirror Switch Reference Voltage Negative Common Open Circuit"
"2753","B2350","Steering Column Switch Circuit Short to Battery"
"2754","B2351","Steering Column Switch Circuit Failure"
"2755","B2352","Driver Memory Power Switch Indicator Circuit Short to Battery"
"2756","B2353","Driver Mirror Power Driver Circuit Short Ground"
"2757","B2354","Driver Mirror Horizontal / Vertical Feedback Potentiometer Circuit Open"
"2758","B2355","Passenger Mirror Horizontal / Vertical Feedback Potentiometer Circuit Open"
"2759","B2357","Driver Window Down Current Sense Low Circuit Failure"
"2760","B2362","Remote Open/Close signal Circuit Short to Ground"
"2761","B2363","Optical Sensor System Failure"
"2762","B2364","Fuel Filler Door Circuit Open"
"2763","B2365","B-pillar Power Sliding Door Open/Close Switch Input Ckt Short to Gnd"
"2764","B2366","IP Power Sliding Door Open/Close switch Ckt Short to Gnd"
"2765","B2367","Power Sliding Door Override Switch Input Ckt Short to Gnd"
"2766","B2368","Steering Column Switch Circuit Out of Range"
"2767","B2369","Chime OUTPUT Request Ckt Short to Ground"
"2768","B2373","LED #1 Circuit Short to Battery"
"2769","B2374","Power Sliding Detent (Latch) Circuit Failure"
"2770","B2380","Heater Coolant Temp sensor circuit Short to GND"
"2771","B2381","Heater Coolant Temp sensor circuit Open"
"2772","B2384","Audio Reverse Aid Mute Input Ckt Failure"
"2773","B2385","Audio Navigation Mute Input Ckt Failure"
"2774","B2401","Audio Tape Deck Mechanism Fault"
"2775","B2402","Audio CD/DJ Thermal Shutdown Fault"
"2776","B2403","Audio CD/DJ Internal Fault"
"2777","B2404","Audio Steering Wheel Switch Circuit Fault"
"2778","B2405","Audio Single-Disc CD Player Thermal Shutdown Fault"
"2779","B2406","Audio Single-Disc CD Player Internal Fault"
"2780","B2416","Climate Control Recirculation Actuator Out of Limits"
"2781","B2425","Remote Keyless Entry Out of Synchronization"
"2782","B2426","Passenger Solar Radiation Sensor Circuit Open"
"2783","B2427","Passenger Solar Radiation Sensor Circuit Short to Ground"
"2784","B2428","A/C Post Heater Sensor #2 Circuit Failure"
"2785","B2429","A/C Post Heater Sensor #2 Circuit Short to Ground"
"2786","B2431","Transponder Programming Failed"
"2787","B2432","Drivers Seat Belt Buckle Switch Circuit Open"
"2788","B2433","Drivers Seat Belt Buckle Switch Circuit Short to Battery"
"2789","B2434","Drivers Seat Belt Buckle Switch Circuit Short to Ground"
"2790","B2435","Drivers Seat Belt Buckle Switch Resistance out of Range"
"2791","B2436","Passengers Seat Belt Buckle Switch Circuit Open"
"2792","B2437","Passengers Seat Belt Buckle Switch Circuit Short to Battery"
"2793","B2438","Passengers Seat Belt Buckle Switch Circuit Short to Ground"
"2794","B2439","Passengers Seat Belt Buckle Switch Resistance out of Range"
"2795","B2440","Passenger Sid, Side crash sensor mount fault"
"2796","B2441","Driver Sid, Side crash sensor mount fault"
"2797","B2442","Intrusion Sensor Fault"
"2798","B2443","Powertrain Performance Mode Switch Circuit failure"
"2799","B2444","Driver Side Crash Sensor Internal Fault"
"2800","B2445","Passenger Side Crash Sensor Internal Fault"
"2801","B2446","RESCU/VEMS Input Circuit Open"
"2802","B2447","RESCU/VEMS Input Circuit Short to Battery"
"2803","B2448","RESCU/VEMS Input Circuit Short to Ground"
"2804","B2449","Aux Heater Glow Plug Circuit Short to Ground"
"2805","B2450","Aux Heater Glow Plug Circuit Open"
"2806","B2451","Aux Heater Fuel Pump Circuit Short to Ground"
"2807","B2452","Aux Heater Fuel Pump Circuit Open"
"2808","B2453","Aux Heater Blower Fan Circuit Short to Ground"
"2809","B2454","Aux Heater Blower Fan Circuit Open"
"2810","B2455","Aux Heater Blower Faulted"
"2811","B2456","Aux Heater Coolant Sensor Circuit Short to Ground"
"2812","B2457","Aux Heater Coolant Sensor Circuit Open"
"2813","B2458","Aux Heater Overheat Sensor Circuit Short to Ground"
"2814","B2459","Aux Heater Overheat Sensor Circuit Open"
"2815","B2460","Aux Heater Flame Sensor Circuit Short to Ground"
"2816","B2461","Aux Heater Flame Sensor Circuit Open"
"2817","B2462","Aux Heater Flame Out Fault"
"2818","B2463","Aux Heater Overheat Fault"
"2819","B2464","Aux Heater Start Time Exceeded"
"2820","B2465","Aux Heater Start Counter Overrun/System Locked (same as below ?)"
"2821","B2466","Aux Heater Overheat Counter Overrun/System Locked"
"2822","B2467","Aux Heater Cool Down Time Exceeded (may be con to a453-5 )"
"2823","B2468","Aux Heater Coolant Pump Circuit Short to Ground"
"2824","B2469","Aux Heater Coolant Pump Circuit Open"
"2825","B2470","Interior Fan Control Circuit Short to Ground"
"2826","B2471","Interior Fan Control Circuit Open"
"2827","B2472","Fog Lamp Switch Failure"
"2828","B2473","Passenger Door Disarm Switch ckt Short to Ground"
"2829","B2474","Passenger Door Lock Switch Circuit Shorted to Ground"
"2830","B2475","Passenger Door Unlock Switch Circuit Shorted to Ground"
"2831","B2476","RADIO PRESENT SWITCH Ckt Failure"
"2832","B2477","Module Configuration Failure"
"2833","B2478","ANTI THEFT INPUT SIGNAL SHORT TO GROUND"
"2834","B2479","BRAKE PARK SWITCH CIRCUIT SHORT TO GROUND"
"2835","B2480","LF CORNER LAMP OUTPUT Ckt Short to Battery"
"2836","B2481","Convertible Top Up/Down switch Fault"
"2837","B2482","RF CORNER LAMP OUTPUT Ckt Short to Battery"
"2838","B2483","Enable Signal Open Circuit"
"2839","B2484","Disable Signal Short to Ground"
"2840","B2485","LF SIDE REPEATER LAMP OUTPUT Ckt Short to Battery"
"2841","B2487","RF SIDE REPEATER LAMP OUTPUT Ckt Short to Battery"
"2842","B2489","UNDERHOOD LAMP OUTPUT CIRCUIT Failure"
"2843","B2490","UNDERHOOD LAMP OUTPUT CIRCUIT Short to Battery"
"2844","B2491","RF PARK LAMP OUTPUT CIRCUIT Short to Battery"
"2845","B2492","Already Programmed (Test Mode DTC Only !!!)"
"2846","B2493","LF PARK LAMP OUTPUT CIRCUIT Short to Battery"
"2847","B2494","ANTI THEFT HORN OUTPUT CIRCUIT Short to Batt"
"2848","B2495","ANTI THEFT HORN OUTPUT CIRCUIT Failure"
"2849","B2496","ANTI THEFT HORN OUTPUT CIRCUIT Short to Gnd"
"2850","B2499","COURTESY LAMP OUTPUT Failure"
"2851","B2500","COURTESY LAMP OUTPUT Ckt Short to Battery"
"2852","B2501","LF LAMP LOW BEAM CIRCUIT Failure"
"2853","B2502","LF LAMP LOW BEAM CIRCUIT Short to Battery"
"2854","B2503","RF LAMP LOW BEAM CIRCUIT Failure"
"2855","B2504","RF LAMP LOW BEAM CIRCUIT Short to Battery"
"2856","B2505","LF LAMP HIGH BEAM CIRCUIT Failure"
"2857","B2506","LF LAMP HIGH BEAM CIRCUIT Short to Battery"
"2858","B2507","RF LAMP HIGH BEAM CIRCUIT Failure"
"2859","B2508","RF LAMP HIGH BEAM CIRCUIT Short to Battery"
"2860","B2509","Rear Fog Lamp Switch Circuit Failure"
"2861","B2510","Main Blower Motor Relay Circuit Short to Battery"
"2862","B2511","Horn Output Relay Circuit Short to Battery"
